trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
496,False,"{'a': 0.25, 'e': 0.007012927832585424}",25,11,29.66895397105036,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
497,False,"{'a': 0.25, 'e': 0.006943148034746114}",20,0,32.75516859253063,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
498,False,"{'a': 0.25, 'e': 0.006874062557496249}",20,6,-0.7755653811404282,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
499,False,"{'a': 0.25, 'e': 0.006805664492230544}",25,0,30.72876446147175,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
500,False,"{'a': 0.25, 'e': 0.006737946999085467}",25,2,36.62675838929752,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
501,False,"{'a': 0.25, 'e': 0.006670903306255274}",20,4,27.5655975879585,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
502,False,"{'a': 0.25, 'e': 0.006604526709314805}",25,0,26.39353368099327,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
503,False,"{'a': 0.25, 'e': 0.006538810570549064}",20,0,28.10633346555506,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
504,False,"{'a': 0.25, 'e': 0.006473748318289405}",30,7,40.322518818935315,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
505,False,"{'a': 0.25, 'e': 0.006409333446256383}",20,0,32.06901729688193,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
506,False,"{'a': 0.25, 'e': 0.006345559512909111}",20,5,16.64085346545762,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
507,False,"{'a': 0.25, 'e': 0.006282420140801118}",30,12,30.754707562552635,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
508,False,"{'a': 0.25, 'e': 0.006219909015942573}",20,6,12.219363839011836,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
509,False,"{'a': 0.25, 'e': 0.006158019887168897}",25,0,41.71799201944254,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
510,False,"{'a': 0.25, 'e': 0.006096746565515633}",25,0,43.208001316057455,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
511,False,"{'a': 0.25, 'e': 0.006036082923599565}",20,8,15.776080219602456,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
512,False,"{'a': 0.25, 'e': 0.005976022895005943}",25,11,20.304129732592887,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
513,False,"{'a': 0.25, 'e': 0.005916560473681856}",20,9,18.42532622746907,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
514,False,"{'a': 0.25, 'e': 0.0058576897133356225}",20,3,28.801211717116125,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
515,False,"{'a': 0.25, 'e': 0.005799404726842141}",25,3,40.78464302469524,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
516,False,"{'a': 0.25, 'e': 0.005741699685654202}",20,3,25.62427813578859,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
517,False,"{'a': 0.25, 'e': 0.005684568819219595}",20,3,30.88638272884106,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
518,False,"{'a': 0.25, 'e': 0.005628006414404065}",20,0,28.44351216835767,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
519,False,"{'a': 0.25, 'e': 0.005572006814919993}",20,0,28.139048925629822,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
520,False,"{'a': 0.25, 'e': 0.005516564420760771}",20,14,7.90879650474911,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
521,False,"{'a': 0.25, 'e': 0.005461673687640779}",30,0,44.61866834087039,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
522,False,"{'a': 0.25, 'e': 0.00540732912644096}",25,0,43.81016371825877,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
523,False,"{'a': 0.25, 'e': 0.005353525302659902}",25,0,41.3745808344984,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
524,False,"{'a': 0.25, 'e': 0.005300256835870402}",20,0,30.201867928110342,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
525,False,"{'a': 0.25, 'e': 0.005247518399181385}",25,8,30.527578535243467,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
526,False,"{'a': 0.25, 'e': 0.005195304718705231}",25,0,44.38313948902806,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
